 Retrying in 1 seconds
成功獲取交通號誌 '1253678773' 的相位總數: 4
時間: 1060s | 獎勵: -30.00 | Epsilon: 0.050
時間: 1070s | 獎勵: 30.00 | Epsilon: 0.050
時間: 1080s | 獎勵: -24.00 | Epsilon: 0.050
時間: 1090s | 獎勵: -30.00 | Epsilon: 0.050
時間: 1100s | 獎勵: -31.00 | Epsilon: 0.050
時間: 1110s | 獎勵: -32.00 | Epsilon: 0.050
時間: 1120s | 獎勵: -32.00 | Epsilon: 0.050
時間: 1130s | 獎勵: -32.00 | Epsilon: 0.050
時間: 1140s | 獎勵: -32.00 | Epsilon: 0.050
時間: 1150s | 獎勵: -32.00 | Epsilon: 0.050
時間: 1160s | 獎勵: -32.00 | Epsilon: 0.050
時間: 1170s | 獎勵: -33.00 | Epsilon: 0.050
時間: 1180s | 獎勵: -34.00 | Epsilon: 0.050
時間: 1190s | 獎勵: -34.00 | Epsilon: 0.050
時間: 1200s | 獎勵: -34.00 | Epsilon: 0.050
時間: 1210s | 獎勵: -34.00 | Epsilon: 0.050
時間: 1220s | 獎勵: -34.00 | Epsilon: 0.050
時間: 1230s | 獎勵: -34.00 | Epsilon: 0.050
時間: 1240s | 獎勵: -34.00 | Epsilon: 0.050
時間: 1250s | 獎勵: -34.00 | Epsilon: 0.050
時間: 1260s | 獎勵: -34.00 | Epsilon: 0.050
時間: 1270s | 獎勵: -34.00 | Epsilon: 0.050
時間: 1280s | 獎勵: -34.00 | Epsilon: 0.050
時間: 1290s | 獎勵: -35.00 | Epsilon: 0.050
時間: 1300s | 獎勵: -35.00 | Epsilon: 0.050
時間: 1310s | 獎勵: -35.00 | Epsilon: 0.050
時間: 1320s | 獎勵: -36.00 | Epsilon: 0.050
時間: 1330s | 獎勵: -36.00 | Epsilon: 0.050
時間: 1340s | 獎勵: -37.00 | Epsilon: 0.050
時間: 1350s | 獎勵: -37.00 | Epsilon: 0.050
時間: 1360s | 獎勵: -37.00 | Epsilon: 0.050
時間: 1370s | 獎勵: -37.00 | Epsilon: 0.050
時間: 1380s | 獎勵: -37.00 | Epsilon: 0.050
時間: 1390s | 獎勵: -37.00 | Epsilon: 0.050
時間: 1400s | 獎勵: -37.00 | Epsilon: 0.050
時間: 1410s | 獎勵: -37.00 | Epsilon: 0.050
時間: 1420s | 獎勵: -37.00 | Epsilon: 0.050
時間: 1430s | 獎勵: -37.00 | Epsilon: 0.050
時間: 1440s | 獎勵: -37.00 | Epsilon: 0.050
時間: 1450s | 獎勵: -37.00 | Epsilon: 0.050
時間: 1460s | 獎勵: -37.00 | Epsilon: 0.050
時間: 1470s | 獎勵: -37.00 | Epsilon: 0.050
時間: 1480s | 獎勵: -37.00 | Epsilon: 0.050
時間: 1490s | 獎勵: -37.00 | Epsilon: 0.050
時間: 1500s | 獎勵: -37.00 | Epsilon: 0.050
時間: 1510s | 獎勵: -37.00 | Epsilon: 0.050
時間: 1520s | 獎勵: -37.00 | Epsilon: 0.050
時間: 1530s | 獎勵: -37.00 | Epsilon: 0.050
時間: 1540s | 獎勵: -37.00 | Epsilon: 0.050
時間: 1550s | 獎勵: -37.00 | Epsilon: 0.050
時間: 1560s | 獎勵: -38.00 | Epsilon: 0.050
時間: 1570s | 獎勵: -38.00 | Epsilon: 0.050
時間: 1580s | 獎勵: -38.00 | Epsilon: 0.050
時間: 1590s | 獎勵: -38.00 | Epsilon: 0.050
時間: 1600s | 獎勵: -38.00 | Epsilon: 0.050
時間: 1610s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1620s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1630s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1640s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1650s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1660s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1670s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1680s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1690s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1700s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1710s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1720s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1730s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1740s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1750s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1760s | 獎勵: -39.00 | Epsilon: 0.050
時間: 1770s | 獎勵: -39.00 | Epsilon: 0.050
