generation,phase1,phase2,delay
1,16,11,3470.28
2,19,22,2803.57
3,21,19,2662.46
4,22,20,2754.56
5,19,21,2752.15
6,17,18,2983.87
7,17,28,3156.29
8,17,12,3006.20
9,17,12,3006.20
10,20,18,2816.35
11,20,31,3008.37
12,32,18,3011.38
13,21,22,2852.01
14,19,22,2803.57
15,23,19,3136.21
16,32,25,3187.01
17,20,27,2787.02
18,22,24,2771.69
19,22,18,2644.90
20,22,20,2754.56
21,18,29,3088.19
22,20,27,2787.02
23,20,27,2787.02
24,20,26,2823.58
25,20,29,2803.50
26,19,25,2634.35
27,20,27,2787.02
28,19,24,2763.08
29,17,19,2587.73
30,18,16,2830.06
31,18,24,2821.77
32,20,27,2787.02
33,17,19,2587.73
34,17,22,2895.88
35,19,27,3024.18
36,19,27,3024.18
37,20,19,2503.68
38,20,19,2503.68
39,20,17,2464.37
40,20,20,2562.22
41,22,24,2771.69
42,18,20,2829.71
43,20,20,2562.22
44,20,20,2562.22
45,20,20,2562.22
46,20,20,2562.22
47,21,26,2631.98
48,21,23,2604.34
49,21,23,2604.34
50,21,20,2794.66
51,20,15,2631.50
52,22,15,2608.91
53,22,15,2608.91
54,22,23,2705.08
55,22,18,2644.90
56,22,15,2608.91
57,22,16,2592.70
58,20,17,2464.37
59,20,17,2464.37
60,22,16,2592.70
61,22,16,2592.70
62,22,16,2592.70
63,20,17,2464.37
64,22,16,2592.70
65,22,15,2608.91
66,22,19,2759.09
67,22,29,3140.52
68,18,16,2830.06
69,22,15,2608.91
70,22,14,2966.23
71,18,22,2942.86
72,18,18,2787.50
73,20,18,2816.35
74,20,19,2503.68
75,17,19,2587.73
76,20,19,2503.68
77,17,18,2983.87
78,20,18,2816.35
79,20,30,2859.49
80,17,15,3051.07
81,17,19,2587.73
82,17,19,2587.73
83,20,15,2631.50
84,20,29,2803.50
85,20,29,2803.50
86,20,29,2803.50
87,22,24,2771.69
88,20,16,2533.01
89,21,17,2789.73
90,19,13,2884.21
91,21,23,2604.34
92,29,28,3305.11
93,19,16,2847.58
94,19,19,2741.78
95,21,30,2890.02
96,42,41,3477.43
97,29,29,3430.41
98,20,31,3008.37
99,18,22,2942.86
100,32,29,3188.37
