generation,phase1,phase2,delay
1,22,16,2592.70
2,22,16,2592.70
3,22,16,2592.70
4,21,18,2495.36
5,21,18,2495.36
6,21,18,2495.36
7,21,18,2495.36
8,21,18,2495.36
9,21,18,2495.36
10,21,18,2495.36
