generation,phase1,phase2,delay
1,17,20,2562.67
2,17,20,2562.67
3,17,20,2562.67
4,20,19,2503.68
5,20,19,2503.68
6,20,19,2503.68
7,20,19,2503.68
8,20,19,2503.68
9,20,19,2503.68
10,20,19,2503.68
